P30615	Pyruvate kinase 1
P40121	Actin regulatory protein CAP G
Q76CS9	[2Fe 2S]ferredoxin
P40126	L dopachrome tautomerase
Q142Q8	Uncharacterized protein
U6NA71	Rhomboid protease GlpG
Q9BQC6	mL63
Q24117	Cut up protein
A0R089	Transcription regulator AmtR
A3MSP1	Archeaosine synthase QueF Like
B4RL22	Arginine tRNA ligase
Q930K7	Uncharacterized protein
B4E9I9	Arylformamidase
Q8IED5	FERREDOXIN
O09130	NFATC2 interacting protein
P26205	Linamarase
Q1LAJ1	ORF131 PROTEIN
Q1LAJ7	CzcP cation efflux P1 ATPase
A0A045JER3	30S ribosomal protein S16
P40693	Ribosome biogenesis protein RLP7
P40692	MutL protein homolog 1
P33778	Histone H2B.1
Q2STF3	Uroporphyrinogen decarboxylase
P21963	Rattlesnake lectin
P21964	COMT protein
Q9KT71	Uridine phosphorylase
A0A0C5BL75	Neuraminidase
P37475	Stage II sporulation protein H
Q13177	PAK65
P37479	Uncharacterized protein YycE
Q49YI7	uncharacterized protein
Q76NM3	L LACTATE DEHYDROGENASE
Q76NM2	ASP TRP ASN
Q76NM4	Small GTPase Rab11
Q6P988	NOTUM
B9PMB3	Ribosomal protein uS13
P22436	Ig gamma 3 chain C region
P22434	3':5' CNP
A0A0H3CA70	MIPZ
Q9NZI5	Transcription factor CP2 like 2
Q9NZI8	Zipcode binding protein 1
Q8E006	uncharacterized protein SAG0934
P07059	Endonuclease II
Q9CID4	Sugar hydrolase
O73821	Secreted Xwnt8 inhibitor sizzled
Q75UV1	Ndx1
Q24154	60S ribosomal protein L29
D3W0D1	Activating coreceptor NKp65
Q8KND2	CalO6
Q86QT3	Ergtoxin
Q5SJP7	Flavin:NADH reductase
Q5SJP3	PaaI protein
Q5SJP1	thioesterase family protein
P52779	Protein LlR18B
Q5SJP8	4 HPA 3 hydroxylase
Q7CIU6	Uncharacterized protein
Q11VD8	Two component response regulator
Q63K41	Effector protein BopE
Q9WYD1	PROTEIN Transaldolase EC 2.2.1.2
P34929	Apolipoprotein C I basic form
Q73CU0	Bacillus cereus PatB1
C0LU17	Polyphenol oxidase
Q6RYW5	Outer membrane protein Omp38
C5HDG5	Uricase
B2HDU6	Cytidine deaminase Cdd
Q385E8	Sterol 14 ALPHA DEMETHYLASE
P0C2X7	Peptide F5 16.20
P0C2X0	Glycoprotein G
Q4ADX2	Alanine racemase
O60583	Cyclin T2
A8QZK6	XEco2
Q972R9	Hypothetical protein ST1066
G4VLE5	Sulfotransferase
B1PWB9	Thioredoxin
P18848	DNA binding protein TAXREB67
C8VTS4	VelB
P18843	Nitrogen regulatory protein
Q96RU8	SKIP1
Q9VAK8	CG11501
Q15059	Bromodomain containing protein 3
O97428#P62326	Thymosin beta 4 chimeric protein
B7MLQ3	Aspartate carbamoyltransferase
O26309	30S ribosomal protein S8e
A7AK45	Tetratricopeptide repeat protein
O30974	Thioredoxin
P01040	Stefin A
Q977U7	Glucose 1 dehydrogenase
P06010	Reaction center protein M chain
Q7RBT4	transport protein
Q9W4R3	CG32791 isoform A
P06019	CI
Q59623	Superoxide dismutase [Cu Zn]
Q9DAF3	1700011N24Rik Protein
A8YPQ6#A8YPQ8	null#null
A0AW19	Multicopper oxidase
Q54450	protein Heme BINDING protein A
Q99036	ENDO 14 B D MANNANASE
Q9Y4J8	Alpha dystrobrevin
Q99034	Acetylxylan esterase
A0A0B5GUS3	CALCIUM BINDING PROTEIN
Q8P6M8	Coenzyme PQQ synthesis protein D
Q8NQ14	Transcriptional regulator
Q6GHP9	Cell division protein FtsZ
Q13WC0	UDP glucose pyrophosphorylase
D2TPI3	78 diaminononanoate synthase
Q9DHU8	14L protein
Q86PR3	sterol carrier protein 2
Q8IY57	YY1 associated factor 2
Q3T035	Arp2 3 complex 21 kDa subunit
P43577	Phosphoglucosamine acetylase
Q92772	Cyclin dependent kinase like 2
P42228	STAT 4
A7M022	ALPHA GLUCURONIDASE GH115
Q5SGX2	Phenylalanyl tRNA synthetase
Q5SGX1	Phenylalanyl tRNA synthetase
P42226	IL 4 Stat
P42227	Acute phase response factor
Q9I420	hypothetical protein PA1324
Q09LZ0	Beta xylosidase
Q13641	5T4 oncofetal antigen
A0A0A0V031	acyl CoA synthetase
Q25C86	Alginate binding flagellin
Q96JH8	KIAA1849 protein
P82139	plastid ribosomal protein uL10c
P18153	D7 Protein
P9WPN8	Putative cytochrome P450 126
P15056	Proto oncogene B Raf
P9WJ35	Antitoxin VapB30
P00318	Allophycocyanin beta chain
P24938	Core protein V
P00315	Allophycocyanin alpha chain
P00313	Phycoerythrocyanin beta chain
Q6S361	DraB
P00311	phycocyanin
P19409	Bile acid coenzyme A ligase
Q12959#Q5T2T1#Q9NUP9	hDlg
Q7X416	Recombinase A
P19400	Major pepsin inhibitor PI 3
Q0GY13	Sterol carrier protein 2 like 2
Q02395	Zinc regulated factor 1
A0A0H3K2T2	conserved hypothetical protein
Q8DI95	Ycf48 like protein
P07839	Ferredoxin chloroplastic
Q8DI91	Chromophore lyase CpcS CpeS
P07830	Actin 8
Q99QV3	Lactonase drp35
P07834	Cell division control protein 4
P02807	Metallothionein
O13728	Alpha actinin like protein 1
P38539	Methanol dehydrogenase
Q64WA7	Uncharacterized protein
A8DS27	Class A carbapenemase KPC 2
Q86YL7	Peptide from Podoplanin
Q8NHJ6	Immunoglobulin like transcript 3
Q58174	Uncharacterized protein MJ0764
Q11NJ2	Uncharacterized protein
O14976	Cyclin G associated kinase
O14977	antizyme inhibitor 1
Q9X7H4	Regulatory protein
Q6Y7W6	GRB10 interacting GYF protein 2
A6LH36	Putative glycoside hydrolase
Q9X9L0	Giding protein mglB
B4XVN1	Endo 14 beta xylanase A
Q6CWR9	Ribosomal protein
Q02884	HAT associated protein 1
F1BV52	NucB
A3MV07	DNA polymerase
P81445	nitrite reductase
P81446	mistletoe lectin I
B9U359	SHORT CHAIN DEHYDROGENASE
Q9ALU0	PHOSPHATASE
Q12769	Nucleoporin Nup160
P0CX55	rpS18_uS13
Q9UNA0	protein ADAMTS 5
Q9UNA1	Olygophrenin 1 like protein
Q9I0Q8	Acetyltransferase PA2578
Q9UNA4	DNA polymerase iota
Q10712	Prolyl aminopeptidase 1
Q8GJ44	Xylanase 11A
Q7MT13	Aspartokinase
Q91453	Stonustoxin subunit beta
P9WPX9	3 dehydroquinate synthase
P0AER0	Aquaglyceroporin
P9WPX3	Aspartate kinase
B9Q287	Nucleoside diphosphate kinase
P9WPX7	3 dehydroquinate dehydratase
Q251Q8	Uncharacterized protein
Q9GZT4	L serine ammonia lyase
P01863	Immunoglobulin MS6 164
P50859	Cytochrome P450 51
P01861	Ig gamma 4 chain C region
Q57837	S2P endopeptidase
P01867	FAB 184.1
P01865	IGG2A FAB FRAGMENT D2.5
P01864	B allele
P50851	CDC4 like protein
P01869	ANTIBODY A6
P01868	NMC 4 IGG1
A0A1U9YFU1	Late major capsid protein L1
O76074#P27815	O76074:
A0A0A6YVN5	LC Est1C
A0A0A6YVN6	ATP DEPENDENT DNA LIGASE
Q9K395	Type E botulinum toxin
Q7N8J0	PLL lectin
A0A0A6YVN3	PGM1
P03036	protein 434 cro
P03034	Repressor protein cI
A0A0A6YVN8	D tagatose 3 epimerase
A0A0T9RXH3	Proteasome subunit
Q7PXT9	Odorant binding protein antennal
D2Q399	Uncharacterized protein
O55023	Inositol 1or 4 monophosphatase 1
O55029	Coatomer subunit BETA
Q9UBC3	DNA methyltransferase HsaIIIB
Q06892	NADH kinase POS5 mitochondrial
P9WLZ7	protein Rv1364c MT1410
Q7DJN2	MerB2
Q9H2W6	P2ECSL
Q2YII2	Aldo keto reductase
W5JXE0	Endo 14 beta xylanase
P9WJB7	Nucleoid associated protein EspR
B1FPK4	Peptide deformylase
P80424	tryptase inhibitor
P0ACD8	NiFe hydrogenase
P0ACD6	Sulfur acceptor protein IscU
Q94661	APICAL MEMBRANE ANTIGEN 1
P0ACD4	Sulfur acceptor protein IscU
Q60049	H2O2 forming NADH oxidase
Q60048	Cadmium efflux ATPase
C9ZXG5	Mono cysteine glutaredoxin
Q5VWZ2	Lysophospholipase like protein 1
Q8TXY4	Methylene H4MPT reductase
P48555	Ras related protein Ral a
Q8J581	Envelope glycoprotein gp160
F1SVC5	MRPL35
F9ULL2	p coumaric acid decarboxylase
Q67897	Non structural Protein 3
Q8RE65	C4 dicarboxylate binding protein
Q6QAP7	40S ribosomal protein S17
Q6QAP6	ribosomal protein uS14
Q7RP52	Ubiquitin conjugating enzyme
P62869	SIII p18
Q4DQ60	Ribosomal protein L38
P62861	ribosomal protein ES30
P51813	NTK38
Q2F7J3	Gag Pol polyprotein
A8BD71	Hypothetical protein
Q7VWF8	hypothetical protein BP2299
Q9AZ56	ORF48
C5DNF8	KLTH0G16610p
Q9KJD0	Levan fructotransferase
P0ABJ1	Ubiquinol oxidase chain B
P0ABJ3	Oxidase bo3 subunit 3
P07237	Protein disulfide isomerase
P02070	Beta globin
O14492	SH2B adapter protein 2
P02075	Beta globin
P02074	Hemoglobin subunit beta 3
P02077	Hemoglobin subunit beta A
Q2VJ58	Immunity factor for SPN
C3SQT7	30S ribosomal protein S10
Q9NZM3	SH3 domain containing protein 1B
O95926	Pre mRNA splicing factor SYF2
Q7NGR7	Ornithine carbamoyltransferase
Q9H1I8	ASC 1 complex subunit p100
P16070	Phagocytic glycoprotein 1
Q7BGI8	NADPH flavin oxidoreductase
Q8RDZ4	Putative monooxygenase
P14240	RNA directed RNA polymerase L
P14242	DNA mismatch repair protein PMS1
Q02775	Pre mRNA splicing factor SLU7
Q12220	U three protein 12
P28375	Mambin
Q9X116	conserved hypothetical protein
Q2G8F3	LD carboxypeptidase A
Q9X113	Putative Oxalate decarboxylase
Q83BY6	Dihydropteroate synthase
P43631	NK receptor 183 ActI
P43632	MHC class I NK cell receptor
Q2SXD6	Lysine tRNA ligase
W8TPC6	30S ribosomal protein S6
P0DN86	HUMAN Chorionic gonadotropin
P96060	AEP transaminase
Q5GHF7	Adenylate isopentenyltransferase
P05417	Rieske iron sulfur protein
P05414	Glycolate oxidase
P05412	AP 1 FRAGMENT jun
P05413	Fatty acid binding protein 3
P05411	Viral jun transforming protein
Q9C4Z5	Aquaporin AqpM
P05418	Cytochrome b
Q9HAV4	Exportin 5
P01524	Myotoxin II
P01525	Neurotoxin B IV
P01522	SNX 124
P01523	Myotoxin I
Q98AA0	Mlr6093 protein
Q8RNT4	15S lipoxygenase
Q3T0X5	20S Proteasome
Q14457	Beclin 1
Q14451	B47
P63053	ribosomal protein eL40
Q83WA8	BclA protein
A6ZPA6	nudF homolog
P28990	E3 ubiquitin protein ligase ICP0
A6ZPA9	Ribosome biogenesis protein YTM1
P0A423	p30 protein
P0A420	Photosystem I 16 kDa polypeptide
P0A425	Photosystem I subunit X
E9BG02	ribosomal protein L14e
Q9H5X1	MIP18 family protein FAM96A
Q386F2	40S ribosomal protein S4
Q5F924	Primosomal replication protein n
Q80TS3	Latrophilin 3
Q0S167	Transcriptional regulator
Q6DH06	Glutaredoxin 2
Q5SC60	Arenicin 1
Q3E7B6	V type proton ATPase subunit e
P03485#P29715	Bromide peroxidase
P00349	6 phosphogluconate dehydrogenase
Q8NCJ5	SPRY domain containing protein 3
A8J7D3	Predicted protein
P11597	CETP
P0C6F2	protease
P11590	Major urinary protein 4
O66663	Monofunctional Kdo transferase
H6UMW9	Nucleoprotein
O66667	Uroporphyrinogen decarboxylase
F1N9C1	Uncharacterized protein
O66665	Hypothetical protein aq_328
A0A140ESF1	Spike protein
W5PXG3	COMPLEX IV COX6C
P19367	Hexokinase type I
O28185	Peptidyl tRNA hydrolase
O28186	Uncharacterized protein AF_2094
O28187	Uncharacterized protein AF_2093
A1HT30#P03069	P03069:
Q80DP9	Nucleoprotein
P16384	tRNA dimethylallyltransferase
Q9W237	40S ribosomal protein S16
Q12125	Golgi to ER traffic protein 4
P10972	Hmal24
P10971	RPL29
P10970	Hmal22
Q38C91	Methionyl tRNA synthetase
O08795	Glucosidase 2 subunit beta
Q8Y4A6	Homoserine kinase
P33013	Penicillin binding protein 6b
Q5SMH8	Glutamine amidotransferase PurL
Q9BIJ5	LACK1
P16480	Crystaline entomocidal protoxin
A0Q7Q2	FnCpf1
P62095	Cytochrome b559 subunit beta
P62096	Cytochrome b559 subunit beta
P12490	Glycoprotein 120
Q9RW50	Recombination protein O
Q9FT92	hypothetical protein At5g08430
Q9UT27	Pyruvyl transferase 1
P50336	Protoporphyrinogen oxidase
Q91WK5	Lipoic acid containing protein
O59278	Hypothetical protein PH1570
Q9NR71	Non lysosomal ceramidase
P56470	Galectin 4
P9WP56	Cell division protein CrgA
P0C0T5	D alanyl D alanine endopeptidase
O67139	Selenium donor protein
P0AE70	mRNA interferase MazF
P0AE72	Antitoxin MazE
A0A0B4J2H0	scFv 3B4 heavy chain
Q47155	DNA polymerase IV
Q47152	TnpArep for protein
Q47150	Antitoxin DinJ
P58490	Toxin 7
Q96KQ7	HLA B associated transcript 8
Q9D8S9	RIKEN cDNA 1810037G04
P20507	Carbonic anhydrase 1
Q03164	Zinc finger protein HRX
O05979	Uncharacterized protein RP789
Q03161	hexose 6 phosphate mutarotase
A0A045JF49	30S ribosomal protein S15
C4YKK8#P0AEX9	MMBP
Q6G2A9	AMPylator
Q5HLI9	Uncharacterized protein
Q8N8S7	Protein enabled homolog
Q9XBQ3	alpha L arabinofuranosidase
Q6GIA4	Beta ketoacyl ACP synthase III
Q68CZ1	Nephrocystin 8
Q9XBQ8	L lysine 23 aminomutase
Q96EF0	Myotubularin related protein 8
P55789	Hepatopoietin
P0A6W9	Gamma ECS
P17752	Tryptophan 5 monooxygenase
A0A045JVY9	30S ribosomal protein S6
P0A6W5	GreA PROTEIN
D6BP13	Fiber protein
Q8KNZ7	FeeM
Q86SC0	Scarabaecin
Q96HX7	HSP90AA1 protein
P40926	Malate dehydrogenase
P13661	Beta lactamase OXA 1
P13667	Protein disulfide isomerase A4
P13664	Major surface antigen p30
O06480	Putative HAD hydrolase YfnB
Q07139	Protein ECT2
Q816F1	Kinase associated protein B
P57789	TREK 2 K+ channel subunit
P49126	Insecticidal toxin DTX9.2
Q96XE7	2 HALOALKANOIC ACID DEHALOGENASE
A9WCA2	Putative hydrolase
C3SR32	50S ribosomal protein L30
Q8VPD4	L AMINO ACID OXIDASE
C3SR37	50S ribosomal protein L15
P55873	50S ribosomal protein bL20
P55874	50S ribosomal protein L35
A0A0M3KKZ3	Penicillin binding protein 3
A0A0M3KKZ0	glucosyltransferase
P51177	Guanylate cyclase activator 1B
A0A0M3KKZ6	beta 13 glucanosyltransferase
P53277	Pre mRNA splicing factor SYF2
P18429#P23904	P23904:
A3FEV7	Nicking endonuclease N.BspD6I
A0A0M3KKZ8	beta 13 glucanosyltransferase
A0A0M3KKZ9	esterase
Q93WL3	nClpC like protein
Q9XCU0	NONAHEME CYTOCHROME C
Q8TE04	Pantothenate kinase 1
A0A0H2V4A7	Ketodeoxygluconokinase
X5IWS1	conotoxin muOxi GVIIJ
P34760	Thioredoxin peroxidase
Q96R05	Retinoid binding protein 7
Q6CNH9	KLLA0E12453p
Q03835	Monothiol glutaredoxin 3
Q8C172	Ceramide synthase 6
P0AEX9#Q9C000	MMBP
Q08116	B cell activation protein BL34
G4I2J6	Haloalkane dehalogenase
P21752	Thymosin BETA9
P22217	Thioredoxin 1
P22216	protein kinase RAD53
P22213	Protein SLY1
Q9Y2T3	Guanine aminohydrolase
Q5ZU48	Uncharacterized protein
O68212	Fimbrial structural subunit
A0A067YZ73	Hemagglutinin HA2 CHAIN
P26902	DIPEPTIDE TRANSPORT PROTEIN DPPA
Q01477	Ubiquitin thioesterase 3
Q01471	Serine protease
P26908	BL20
U5MDD9	RstA
A9CHE9	uncharacterized protein
O67618	GTP binding protein LepA
Q9X1T1	TmPDE
Q9X1T2	Inosine guanosine phosphorylase
Q31093	MHC CLASS I ANTIGEN H2 M3
O31896	hypothetical protein BSU20280
O31898	YorP protein
Q9JLB9#Q9QZQ1	Protein Af 6
Q31099	MHC class II H2 M beta 2 chain
Q886T9	Hypothetical protein
Q3MAW0	Aldehyde dehydrogenase
P35414	Apelin receptor
E9AFQ5	SAS 6
Q0T5U2	Acyl carrier protein
F6RG56	Mucolipin 3 isoform 1
P0CE47	PROTEIN Elongation factor
P41443	Protein transport protein HofH
P0CE48	Elongation factor Tu
Q7WVY1	cold active aminopeptidase
Q84W65	Protein SULFUR E
Q84W66	Protein LEAFY COTYLEDON 1 LIKE
P09860	PROTEIN Troponin C
P0A9T4	tas Protein
P09866	Envelope protein
A0A0H2URU9	Competence protein ComGC
Q5WZ95	Uncharacterized protein
Q8UUG0	Piscidin 1
Q9ZL26	Restriction endonuclease Hpy99I
C3T3H7	50S ribosomal protein L25 1
H7C7P4	P35 ANTIGEN
Q9IAM1	agkisacutacin A chain
P27361	Insulin stimulated MAP2 kinase
P27362	Phosphoglycerate kinase
O69689	Aminotransferase
Q5JDJ7	Alpha amylase GH57 family
E9BMW6	ribosomal protein eL40
Q9NDH8	ENOLASE
P26010	Integrin beta 7 subunit
B0I3E2	Prefoldin beta subunit 2
B0I3E0	Prefoldin subunit beta
Q9WY06	Nucleoside triphosphatase
Q9WY07	hypothetical protein TM0160
P25294	SIS1 Protein
Q9WY08	geranyltranstransferase
P25293	Nucleosome assembly protein
Q9ZFE7	Acireductone dioxygenase
P36193	Drosocin
F2Z4Y8	Ribosomal protein uS17
P23627	Coat protein
Q15797	SMAD1
E3P6K5	Cyclophilin A
D2Y3F4	Alcohol dehydrogenase class III
A0Q664	ThiJ PfpI family protein
O75420	GRB10 interacting GYF protein 1
Q63HK5	Teashirt homolog 3
P23992	Protein Gp60
P40719	Sensor protein QseC
Q8RSQ2	Barbiturase
P40710	Copper homeostasis protein CutF
P40711	Peptidyl tRNA hydrolase YaeJ
B8YB58	DNA DIRECTED RNA POLYMERASE
B8YB59	DNA DIRECTED RNA POLYMERASE
Q5E7M1	Dihydropteroate synthase
B8YB53	DNA directed RNA polymerase
B8YB56	DNA directed RNA polymerase
B8YB57	RNA POLYMERASE SUBUNIT 4
B8YB54	DNA directed RNA polymerase
B8YB55	DNA directed RNA polymerase
P80220	DSIP immunoreactive peptide
P80226	Fatty acid binding protein 1
A5UZ69	Periplasmic binding protein
Q05115	Arylmalonate decarboxylase
Q9HVR0	UPF0271 protein PA4511
B1VB62	Polyhedral bodies
Q839J6	lipase acylhydrolase
A7HD43	Globin coupled histidine kinase
Q8U1R3	Putative uncharacterized protein
Q7L2E3	KIAA0890 protein
A7UXZ0	hypothetical protein
Q9BYW2	SET domain containing protein 2
P38049	Bacillus subtilis HmoB
Q9HFE4	monooxygenase
B1P1J0	Jingzhaotoxin 71
P30694	Photosynthetic PEPCase
Q825J7	Hypothetical protein
P30690	Class 3 protein
A0A0X1KHD2	EV71 3Cpro
A0A0X1KHD1	ESTERASE
A4IQU1	Spore photoproduct lyase
O48791	Plectin related protein
Q89IH6	BLR5658 PROTEIN
A0A0H2ZZ96	Enoyl CoA hydratase isomerase
P31442	Multidrug resistance protein D
B1FXZ2	Glutathione S transferase domain
Q2F9Z1	Hypothetical protein
Q9HLX1	Isopentenyl phosphate kinase
Q9NQR1	H4 K20 HMTase SETD8
Q9HLX5	Histidyl tRNA synthetase
Q9HLX9	Hypothetical protein Ta0095
Q18235	Interactor of FizzY protein
A0A081GZ37	Chorismate synthase
A0QWX6	6 phosphogluconolactonase
Q9NZT1	Calmodulin like protein 5
Q9C005	Dpy 30 like protein
Q9C004	Protein sprouty homolog 4
O00506	Ste20 like kinase
P04303	Uracil DNA glycosylase
Q8GUI6	Protein JUMONJI 14
Q9I1Z5	STEROID DELTA ISOMERASE
H8ZRU2	laccase
J7HDY4	BETA FRUCTOFURANOSIDASE
Q6PDM1	Male specific lethal 1 homolog
P80912	P13.7
P07570	DU
P80915	Antimicrobial peptide 1
P07575	Env polyprotein
Q6QWR1	Pyranose:oxygen 2 oxidoreductase
P47150	uS7m
P07579	Major outer capsid Protein
O60462	Neuropilin 2
Q8L1Z5	Triosephosphate isomerase
O34600	3'2'5' bisphosphate nucleotidase
P39315	Quinone oxidoreductase 2
Q13I95	uncharacterized protein DUF849
P09086	OCT 2 POU HOMEODOMAIN
P09081	Homeotic protein bicoid
M1VHN2	Capsid protein
A4GX63	Protein phosphatase 2C
A0A0H3JPH0	CapE
Q2YRK4	GCN5 related N acetyltransferase
P03069#P58772	P03069:
Q6L7B0	Beta 2 microglobulin
B6KDY1	12 mer peptide F12K
P42522	Myosin IC heavy chain
Q9KRY7	Tail specific protease
P42527	Myosin heavy chain kinase A
Q86VQ6	Thioredoxin reductase TR2
P08680	Delta aminolevulinate synthase 2
Q5SKS6	putative Acylphosphatase
Q5SKS4	L threonine 3 dehydrogenase
P08684	Cholesterol 25 hydroxylase
P08686	Cytochrome P 450c21
P03652	Small core protein
Q836G9	HD domain protein
F8WRK9	Cellobiose 2 epimerase
Q6N0Y6	Hypothetical protein fixU nifT
P54725	DNA repair protein HHR23A
P06224	Sigma 43
Q404H3	ArtB protein
P06229	T5 flap endonuclease
Q96QU1	Protocadherin 15
P54252	Ataxin 3
P54253	Ataxin 1
Q9SSN3	AT1G72930 protein
D5SMT1	Uronate isomerase
P03715	Small outer capsid protein
P00101	Cytochrome c 551
P05556	VLA 4 subunit beta
P14678	Sm protein B B'
Q39T60	Putative acyl carrier protein
D5SQH6	GATase1 like protein
P14677	Penicillin binding protein 2x
Q74DN8	uncharacterized protein
Q5SHR6	RNA polymerase subunit alpha
Q5SHR2	Ribosomal protein B
Q5SHR1	Translation initiation factor
Q87JZ2	uncharacterized protein VPA0106
O57940	Proteasome regulatory particle
Q91ZS8	RNA editing deaminase 1
O15492	Retinal specific RGS
P67046	Thymidylate synthase
P38862	ATG12 activating enzyme E1 ATG7
P38867	YHR177W
Q99598	Translin associated protein X
P05889	Pr55Gag
Q99594	TEA domain family member 3
O75394	bL33
Q99593	T box transcription factor TBX5
F8WQK8	Dipeptidyl peptidase 11
Q8EKG8	Uncharacterized protein
B8XCN6	NP
Q9GPQ4	IAG NUCLEOSIDE HYDROLASE
F1SR64	MRPL44
Q6N7Y3	Protein RPA2121
B3LNW5	Yaf9
Q6FMA3	Rapamycin binding protein
Q0PKZ5	Spike protein
Q9YBF1	tRNA splicing endonuclease
Q54735	Carbonate dehydratase
A0KLG5	Alanine racemase
Q43899	AAC6' Ih protein
P81637	Lectin alpha chain
Q14258	E3 Ubiquitin ISG15 ligase TRIM25
P19619	Annexin 1
P19614	Antifreeze protein QAEHPLC 12
B6WQE2	Uncharacterized protein
Q5LB02	SusD homolog
Q9Y4F3	KIAA0430 protein
A8ITN7	FLAGELLAR ASSOCIATED PROTEIN
P04685	Nodulation protein F
Q99ZQ5	putative phosphotransacetylase
P12733	L19
P08525	Complex III subunit VII
P15107	Superoxide dismutase [Cu Zn] B
P12737	50S ribosomal protein L15P
P12736	RPL32E
P12735	ribosomal protein L4
P12734	Hl31
Q8WUN7	Ubiquitin like protein SB72
Q28P99	Uncharacterized protein
Q6LY49	TPR repeat
A0B567	Uncharacterized protein
P0AG74	Holliday junction resolvase
Q8NI35	InaD like protein
P41126	60S ribosomal protein L13
Q9RUY4	Proline dipeptidase
Q9X1K5	Diaminopimelate decarboxylase
Q9X1K8	Dihydrodipicolinate reductase
Q9X1K9	Dihydrodipicolinate synthase
Q8BG87	Methylcytosine dioxygenase TET3
B5XTS6	Ferrous iron transport protein C
T1S9Z0	Repressor
Q9S1A6	Acid phosphatase
W8CR80	Pectate lyase
Q4WE50	Uncharacterized protein
A0A0A0UVL0	PtmO8
D0QF43	Beta xylanase
A0A0M3KL59	MITORIBOSOMAL PROTEIN US9M MRPS9
Q46FV4	Methylene H4MPT reductase
Q9I6P8	Probable porin
Q3E757	60S ribosomal protein L11 B
A0A0M3KL50	MANGANESE Superoxide dismutase
B5ABT1	Takeout like protein 1
Q8VL32	CYLR2
Q01647	Phosphoenolpyruvate carboxylase
P0A0G2	50S ribosomal protein L30
Q8UUZ6	Alpha A crystallin
P01286#P19321	P19321:
P13466	protein Gelation factor
Q4D3U8	HYPOTHETICAL PROTEIN
P11916	Sialic acid binding lectin
P11914	Alpha MPP
Q8ILN8	40S ribosomal protein eS25
Q07337	Outer surface protein C
P29745	Peptidase T
P95474	Carbamate kinase
Q9X839	Germacradienol geosmin synthase
Q8U019	Protein translocase subunit SecY
Q8U018	50S ribosomal protein L15
Q04828	Dihydrodiol dehydrogenase 1 2
I3RJZ3	Metallo beta lactamase VIM 31
B9W4V6	Aromatic peroxygenase
Q04822	PefI protein
Q8U013	30S ribosomal protein S14 type Z
Q8U012	50S ribosomal protein L5P
Q8U015	50S ribosomal protein L6
Q8U014	30S ribosomal protein S8
Q8U017	30S ribosomal protein S5
Q8U016	PfeL19
E0W4V5	Avh146
Q64669	NADPH dehydrogenase [quinone] 1
Q93DB0	RmpB
B1YSS6	D alanylalanine synthetase
E9BJI2	uS10
